track_name,album_name,valence,energy,data_type
Tim McGraw,Taylor Swift,0.425,0.491,ACTUAL
Picture To Burn,Taylor Swift,0.821,0.877,ACTUAL
Teardrops On My Guitar,Taylor Swift,0.289,0.417,ACTUAL
A Place In This World,Taylor Swift,0.428,0.777,ACTUAL
Cold As You,Taylor Swift,0.261,0.482,ACTUAL
The Outside,Taylor Swift,0.591,0.805,ACTUAL
Tied Together With A Smile,Taylor Swift,0.192,0.578,ACTUAL
Stay Beautiful,Taylor Swift,0.504,0.629,ACTUAL
Should've Said No,Taylor Swift,0.472,0.777,ACTUAL
Mary's Song (Oh My My My),Taylor Swift,0.374,0.627,ACTUAL
Our Song,Taylor Swift,0.539,0.672,ACTUAL
I'm Only Me When I'm With You,Taylor Swift,0.518,0.934,ACTUAL
Invisible,Taylor Swift,0.233,0.394,ACTUAL
A Perfectly Good Heart,Taylor Swift,0.268,0.751,ACTUAL
Teardrops On My Guitar (Pop Version),Taylor Swift,0.483,0.753,ACTUAL
Fearless,Fearless,0.467,0.714,ACTUAL
Fifteen,Fearless,0.214,0.636,ACTUAL
Love Story,Fearless,0.307,0.736,ACTUAL
Hey Stephen,Fearless,0.825,0.553,ACTUAL
White Horse,Fearless,0.195,0.346,ACTUAL
You Belong With Me,Fearless,0.445,0.771,ACTUAL
Breathe,Fearless,0.17,0.486,ACTUAL
Tell Me Why,Fearless,0.513,0.852,ACTUAL
You're Not Sorry,Fearless,0.281,0.459,ACTUAL
The Way I Loved You,Fearless,0.379,0.712,ACTUAL
Forever & Always,Fearless,0.514,0.829,ACTUAL
The Best Day,Fearless,0.364,0.447,ACTUAL
Change,Fearless,0.224,0.756,ACTUAL
Jump Then Fall,Fearless,0.82,0.687,ACTUAL
Untouchable,Fearless,0.288,0.454,ACTUAL
Forever & Always (Piano Version),Fearless,0.294,0.16,ACTUAL
Come In With The Rain,Fearless,0.224,0.475,ACTUAL
SuperStar,Fearless,0.228,0.531,ACTUAL
The Other Side Of The Door,Fearless,0.469,0.816,ACTUAL
Fearless (Taylor's Version),Fearless (Taylor's Version),0.43,0.741,ACTUAL
Fifteen (Taylor's Version),Fearless (Taylor's Version),0.289,0.646,ACTUAL
Love Story (Taylor's Version),Fearless (Taylor's Version),0.415,0.792,ACTUAL
Hey Stephen (Taylor's Version),Fearless (Taylor's Version),0.797,0.571,ACTUAL
White Horse (Taylor's Version),Fearless (Taylor's Version),0.366,0.517,ACTUAL
You Belong With Me (Taylor's Version),Fearless (Taylor's Version),0.474,0.773,ACTUAL
Breathe (Taylor's Version),Fearless (Taylor's Version),0.321,0.626,ACTUAL
Tell Me Why (Taylor's Version),Fearless (Taylor's Version),0.541,0.909,ACTUAL
You're Not Sorry (Taylor's Version),Fearless (Taylor's Version),0.241,0.444,ACTUAL
The Way I Loved You (Taylor's Version),Fearless (Taylor's Version),0.472,0.732,ACTUAL
Forever & Always (Taylor's Version),Fearless (Taylor's Version),0.673,0.821,ACTUAL
The Best Day (Taylor's Version),Fearless (Taylor's Version),0.469,0.576,ACTUAL
Change (Taylor's Version),Fearless (Taylor's Version),0.344,0.815,ACTUAL
Jump Then Fall (Taylor's Version),Fearless (Taylor's Version),0.624,0.69,ACTUAL
Untouchable (Taylor's Version),Fearless (Taylor's Version),0.224,0.531,ACTUAL
Forever & Always (Piano Version) [Taylor's Version],Fearless (Taylor's Version),0.271,0.273,ACTUAL
