album_name,track_name,artist,valence,energy,acousticness,liveness,loudness
Taylor Swift,Tim McGraw,Taylor Swift,0.425,0.491,0.575,0.121,-6.462
Taylor Swift,Picture To Burn,Taylor Swift,0.821,0.877,0.173,0.0962,-2.098
Taylor Swift,Teardrops On My Guitar,Taylor Swift,0.289,0.417,0.288,0.119,-6.941
Taylor Swift,A Place In This World,Taylor Swift,0.428,0.777,0.051,0.32,-2.881
Taylor Swift,Cold As You,Taylor Swift,0.261,0.482,0.217,0.123,-5.769
Taylor Swift,The Outside,Taylor Swift,0.591,0.805,0.00491,0.24,-4.055
Taylor Swift,Tied Together With A Smile,Taylor Swift,0.192,0.578,0.525,0.0841,-4.963
Taylor Swift,Stay Beautiful,Taylor Swift,0.504,0.629,0.0868,0.137,-4.919
Taylor Swift,Should've Said No,Taylor Swift,0.472,0.777,0.0103,0.196,-3.771
Taylor Swift,Mary's Song (Oh My My My),Taylor Swift,0.374,0.627,0.0177,0.182,-5.28
Taylor Swift,Our Song,Taylor Swift,0.539,0.672,0.111,0.329,-4.931
Taylor Swift,I'm Only Me When I'm With You,Taylor Swift,0.518,0.934,0.00452,0.103,-3.629
Taylor Swift,Invisible,Taylor Swift,0.233,0.394,0.637,0.147,-5.723
Taylor Swift,A Perfectly Good Heart,Taylor Swift,0.268,0.751,0.00349,0.128,-5.726
Taylor Swift,Teardrops On My Guitar (Pop Version),Taylor Swift,0.483,0.753,0.0402,0.0863,-3.827
Fearless,Fearless,Taylor Swift,0.467,0.714,0.0364,0.31,-4.397
Fearless,Fifteen,Taylor Swift,0.214,0.636,0.0728,0.144,-4.4
Fearless,Love Story,Taylor Swift,0.307,0.736,0.157,0.073,-3.937
Fearless,Hey Stephen,Taylor Swift,0.825,0.553,0.168,0.107,-7.348
Fearless,White Horse,Taylor Swift,0.195,0.346,0.302,0.102,-8.014
Fearless,You Belong With Me,Taylor Swift,0.445,0.771,0.164,0.112,-4.424
Fearless,Breathe,Taylor Swift,0.17,0.486,0.373,0.113,-7.384
Fearless,Tell Me Why,Taylor Swift,0.513,0.852,0.0606,0.37,-3.096
Fearless,You're Not Sorry,Taylor Swift,0.281,0.459,0.13,0.113,-4.126
Fearless,The Way I Loved You,Taylor Swift,0.379,0.712,0.0322,0.111,-3.689
Fearless,Forever & Always,Taylor Swift,0.514,0.829,0.0907,0.106,-4.993
Fearless,The Best Day,Taylor Swift,0.364,0.447,0.611,0.139,-8.535
Fearless,Change,Taylor Swift,0.224,0.756,0.00471,0.117,-4.175
Fearless,Jump Then Fall,Taylor Swift,0.82,0.687,0.111,0.0693,-5.737
Fearless,Untouchable,Taylor Swift,0.288,0.454,0.0583,0.0974,-6.809
Fearless,Forever & Always (Piano Version),Taylor Swift,0.294,0.16,0.852,0.116,-10.785
Fearless,Come In With The Rain,Taylor Swift,0.224,0.475,0.0868,0.248,-6.205
Fearless,SuperStar,Taylor Swift,0.228,0.531,0.367,0.351,-6.123
Fearless,The Other Side Of The Door,Taylor Swift,0.469,0.816,0.169,0.238,-4.279
Fearless (Taylor's Version),Fearless (Taylor's Version),Taylor Swift,0.43,0.741,0.0122,0.333,-4.963
Fearless (Taylor's Version),Fifteen (Taylor's Version),Taylor Swift,0.289,0.646,0.116,0.32,-4.61
Fearless (Taylor's Version),Love Story (Taylor's Version),Taylor Swift,0.415,0.792,0.13,0.0845,-4.311
Fearless (Taylor's Version),Hey Stephen (Taylor's Version),Taylor Swift,0.797,0.571,0.106,0.0934,-6.135
Fearless (Taylor's Version),White Horse (Taylor's Version),Taylor Swift,0.366,0.517,0.369,0.177,-7.377
